+------+-------+----------+
| code | month | commi    |
| MT   |     6 |    19002 |
| PA   |     6 |    18625 |
| IA   |     6 |    18605 |
| AK   |     6 |    17132 |
| DE   |     6 |    13785 |
| NE   |     6 |     9873 |
| NM   |     6 |     7936 |
| SD   |     6 |     5575 |
| ME   |     6 |     4282 |
| NH   |     6 |     3563 |
| DC   |     6 |     3401 |
| ND   |     6 |     2594 |
| CT   |     6 |     1728 |
| AE   |     6 |      303 |
| VT   |     6 |       27 |
| UT   |     9 |     2400 |
| LA   |     9 |      950 |
| TX   |     9 |      225 |
+------+-------+----------+

code reprezinta state_code, month reprezinta nr lunii din an, iar commi reprezinta business value points (bv).

pe baza datelor de mai sus, am nevoie de un algoritm care, pt un stat dat (de ex UT) scoate o structura de date de forma:

[['jan', $bv_pt_UT_pt_ian , $media_bv_pt_luna_ian_pt_toate_statele, $media_bv_pt_luna_ian_pt_top5_state ], ['feb', $bv_pt_UT_pt_feb , $media_bv_pt_luna_feb_pt_toate_statele, $media_bv_pt_luna_feb_pt_top5_state], ['mar', $bv_pt_UT_pt_mar , $media_bv_pt_luna_mar_pt_toate_statele, $media_bv_pt_luna_mar_pt_top5_state]]

observatii:
1. tabelul de mai sus il poti prelucra offline in ce mod vrei pt a obtine o structura de date in perl pe care s-o folosesti apoi in prg tau pt a scoate rez dorit.

2. fa o functie care primeste ca parametru codul statului si returneaza array-ul de array-uri de mai sus, pe baza structurii tale de la pct 1.

3. te poti folosi de orice modul de perl vrei.
   4.  nu folosi AI

good luck!
